q_0.2,q_0.35,q_0.5,q_0.6,q_0.7,q_0.75,q_0.8,q_0.85,q_0.9,q_0.925,q_0.95,q_0.975,predictions,prob_exceed_280,risk_label
10.0,10.0,11.0,13.0,13.0,13.0,13.0,18.0,18.0,40.0,148.0,163.0,13.0,0.0,SAFE
5.0,12.0,12.0,12.0,12.0,14.0,22.0,50.0,55.0,55.0,92.0,190.0,18.0,0.0,SAFE
64.0,73.0,83.0,98.0,704.0,732.0,986.0,1395.0,1790.0,1790.0,2336.0,2512.0,859.0,0.36996699669967004,EXCEED
27.0,60.0,62.0,82.0,82.0,129.0,139.0,286.0,286.0,286.0,450.0,450.0,134.0,0.1518771331058021,SAFE
15.0,26.0,43.0,43.0,58.0,77.0,84.0,84.0,84.0,84.0,202.0,251.0,81.0,0.0,SAFE
100.0,176.0,296.0,296.0,296.0,425.0,742.0,828.0,828.0,1056.0,1056.0,1056.0,584.0,0.5203601108033241,EXCEED
5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,17.0,41.0,119.0,6.0,0.0,SAFE
6.0,9.0,10.0,46.0,46.0,63.0,98.0,98.0,188.0,188.0,188.0,224.0,81.0,0.0,SAFE
5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,29.0,42.0,109.0,6.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,14.0,14.0,17.0,83.0,5.0,0.0,SAFE
7.0,7.0,7.0,10.0,24.0,24.0,27.0,27.0,27.0,27.0,27.0,49.0,26.0,0.0,SAFE
5.0,5.0,11.0,11.0,12.0,12.0,16.0,16.0,16.0,68.0,68.0,139.0,14.0,0.0,SAFE
5.0,5.0,7.0,8.0,8.0,10.0,14.0,14.0,19.0,19.0,19.0,70.0,12.0,0.0,SAFE
5.0,5.0,6.0,6.0,6.0,10.0,10.0,51.0,57.0,57.0,57.0,92.0,10.0,0.0,SAFE
5.0,5.0,6.0,7.0,10.0,10.0,19.0,64.0,64.0,64.0,64.0,64.0,14.0,0.0,SAFE
5.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,82.0,82.0,9.0,0.0,SAFE
5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,8.0,11.0,52.0,7.0,0.0,SAFE
5.0,5.0,5.0,6.0,6.0,6.0,8.0,8.0,8.0,65.0,65.0,65.0,7.0,0.0,SAFE
5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,25.0,25.0,38.0,50.0,6.0,0.0,SAFE
6.0,10.0,10.0,10.0,20.0,20.0,25.0,35.0,35.0,35.0,37.0,52.0,22.0,0.0,SAFE
5.0,9.0,20.0,20.0,38.0,56.0,56.0,130.0,130.0,130.0,130.0,141.0,56.0,0.0,SAFE
5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,113.0,6.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,5.0,8.0,13.0,13.0,13.0,13.0,127.0,7.0,0.0,SAFE
5.0,5.0,5.0,5.0,6.0,6.0,12.0,12.0,12.0,12.0,22.0,111.0,9.0,0.0,SAFE
5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,24.0,24.0,24.0,104.0,6.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,12.0,57.0,6.0,0.0,SAFE
5.0,5.0,5.0,5.0,6.0,7.0,9.0,18.0,18.0,18.0,59.0,72.0,8.0,0.0,SAFE
